Date,DateID,Year,Month,Day,DayOfWeek
2008-12-01,1,2008,12,1,Monday
2008-12-02,2,2008,12,2,Tuesday
2008-12-03,3,2008,12,3,Wednesday
2008-12-04,4,2008,12,4,Thursday
2008-12-05,5,2008,12,5,Friday
2008-12-07,6,2008,12,7,Sunday
2008-12-08,7,2008,12,8,Monday
2008-12-09,8,2008,12,9,Tuesday
2008-12-10,9,2008,12,10,Wednesday
2008-12-11,10,2008,12,11,Thursday
2008-12-12,11,2008,12,12,Friday
2008-12-13,12,2008,12,13,Saturday
2008-12-14,13,2008,12,14,Sunday
2008-12-17,14,2008,12,17,Wednesday
2008-12-18,15,2008,12,18,Thursday
2008-12-19,16,2008,12,19,Friday
2008-12-20,17,2008,12,20,Saturday
2008-12-21,18,2008,12,21,Sunday
2008-12-23,19,2008,12,23,Tuesday
2008-12-24,20,2008,12,24,Wednesday
2008-12-25,21,2008,12,25,Thursday
2008-12-26,22,2008,12,26,Friday
2008-12-28,23,2008,12,28,Sunday
2008-12-29,24,2008,12,29,Monday
2008-12-30,25,2008,12,30,Tuesday
2008-12-31,26,2008,12,31,Wednesday
2009-01-01,27,2009,1,1,Thursday
2009-01-02,28,2009,1,2,Friday
2009-01-03,29,2009,1,3,Saturday
2009-01-04,30,2009,1,4,Sunday
2009-01-05,31,2009,1,5,Monday
2009-01-06,32,2009,1,6,Tuesday
2009-01-07,33,2009,1,7,Wednesday
2009-01-08,34,2009,1,8,Thursday
2009-01-09,35,2009,1,9,Friday
2009-01-10,36,2009,1,10,Saturday
2009-01-11,37,2009,1,11,Sunday
2009-01-12,38,2009,1,12,Monday
2009-01-13,39,2009,1,13,Tuesday
2009-01-14,40,2009,1,14,Wednesday
2009-01-15,41,2009,1,15,Thursday
2009-01-16,42,2009,1,16,Friday
2009-01-17,43,2009,1,17,Saturday
2009-01-18,44,2009,1,18,Sunday
2009-01-19,45,2009,1,19,Monday
2009-01-20,46,2009,1,20,Tuesday
2009-01-21,47,2009,1,21,Wednesday
2009-01-22,48,2009,1,22,Thursday
2009-01-23,49,2009,1,23,Friday
2009-01-24,50,2009,1,24,Saturday
2009-01-25,51,2009,1,25,Sunday
2009-01-26,52,2009,1,26,Monday
2009-01-27,53,2009,1,27,Tuesday
2009-01-28,54,2009,1,28,Wednesday
2009-01-29,55,2009,1,29,Thursday
2009-01-30,56,2009,1,30,Friday
2009-01-31,57,2009,1,31,Saturday
2009-02-01,58,2009,2,1,Sunday
2009-02-02,59,2009,2,2,Monday
2009-02-05,60,2009,2,5,Thursday
2009-02-06,61,2009,2,6,Friday
