Location,LocationID
Albury,1
BadgerysCreek,2
Cobar,3
CoffsHarbour,4
Moree,5
NorahHead,6
NorfolkIsland,7
Penrith,8
Richmond,9
Sydney,10
SydneyAirport,11
WaggaWagga,12
Williamtown,13
Wollongong,14
Canberra,15
Tuggeranong,16
MountGinini,17
Ballarat,18
Bendigo,19
Sale,20
MelbourneAirport,21
Melbourne,22
Mildura,23
Nhil,24
Portland,25
Watsonia,26
Dartmoor,27
Brisbane,28
Cairns,29
GoldCoast,30
Townsville,31
Adelaide,32
MountGambier,33
Nuriootpa,34
Woomera,35
Witchcliffe,36
PearceRAAF,37
PerthAirport,38
Perth,39
SalmonGums,40
Walpole,41
Hobart,42
Launceston,43
AliceSprings,44
Darwin,45
Katherine,46
Uluru,47
