WindGustDir,WindDir9am,WindDir3pm,RainToday,RainTomorrow,ConditionID
W,W,WNW,No,No,1
WNW,NNW,WSW,No,No,2
WSW,W,WSW,No,No,3
NE,SE,E,No,No,4
W,ENE,NW,No,No,5
W,SW,W,No,No,6
W,SSE,W,No,No,7
NNW,SE,NW,No,Yes,8
W,S,SSE,Yes,No,9
N,SSE,ESE,No,Yes,10
NNE,NE,ENE,Yes,Yes,11
W,NNW,NNW,Yes,Yes,12
SW,W,SSW,Yes,No,13
ENE,SSW,E,No,Yes,14
W,N,WNW,Yes,Yes,15
SSE,WSW,SW,Yes,No,16
SSE,SE,NNW,No,No,17
S,SE,SE,No,No,18
WNW,W,W,No,No,19
N,ESE,NW,No,No,20
W,E,W,No,No,21
WSW,SE,WSW,No,No,22
WNW,N,WNW,No,No,23
WNW,NW,WSW,No,Yes,24
WNW,WSW,SW,Yes,No,25
W,WNW,WNW,No,No,26
WNW,W,WNW,No,No,27
W,WSW,SSW,No,No,28
SSE,SSE,E,No,No,29
WNW,SSE,NW,No,No,30
WNW,ENE,NW,No,No,31
W,SE,WNW,No,No,32
W,W,WSW,No,No,33
NE,SSE,S,No,No,34
NE,NNE,E,No,No,35
S,SSE,N,No,No,36
SW,SE,WSW,No,No,37
NNW,SE,NW,No,No,38
NW,SSE,SSW,No,No,39
SW,WSW,SW,No,No,40
SE,SE,SW,No,No,41
WNW,ENE,SSW,No,No,42
WNW,SSE,NNE,No,No,43
NNW,SSE,WNW,No,No,44
NNW,NE,WSW,No,No,45
NW,N,NNW,No,Yes,46
WNW,S,NW,Yes,No,47
W,W,W,No,No,48
WSW,ESE,SSE,No,No,49
S,SSE,WSW,No,No,50
NNE,SE,NNW,No,No,51
N,E,NNE,No,No,52
SW,ESE,S,No,No,53
NNE,ESE,SE,No,No,54
ESE,ESE,SW,No,No,55
SW,SE,E,No,No,56
SW,NE,NW,No,No,57
WSW,SSE,S,No,No,58
W,SE,W,No,No,59
NW,N,W,No,No,60
SE,SW,WSW,No,No,61
SSE,SSE,SE,No,No,62
SE,SSE,NE,No,Yes,63
SSE,SE,SSE,Yes,No,64
NNE,SSE,SSW,No,No,65
E,SE,ESE,No,No,66
N,SSE,ENE,No,No,67
NW,ENE,SW,No,No,68
SSW,NNW,SSE,No,No,69
SSE,SSE,S,No,No,70
NW,S,WNW,No,No,71
NW,SE,NW,No,No,72
WNW,SW,WNW,No,No,73
ESE,ESE,S,No,No,74
NNW,S,ENE,No,No,75
WNW,NE,NNE,No,No,76
SW,WSW,W,No,No,77
W,S,W,No,No,78
SSE,E,SSE,No,No,79
NNE,SSE,NE,No,No,80
NE,ESE,E,No,Yes,81
NE,NE,N,Yes,No,82
W,ENE,S,No,Yes,83
SW,E,N,Yes,Yes,84
WNW,W,NW,Yes,No,85
W,S,WNW,No,No,86
WNW,SSE,WSW,No,No,87
NW,SSE,NW,No,No,88
WSW,S,SW,No,No,89
SSE,NE,N,No,No,90
NE,E,NNE,No,No,91
S,SSE,WNW,No,No,92
ENE,SSE,SSE,No,Yes,93
NNW,N,N,No,No,94
WSW,S,SSW,No,No,95
W,E,NNE,Yes,Yes,96
WSW,E,NW,No,No,97
W,SSE,WSW,No,No,98
SE,S,S,No,No,99
SSE,SSE,SSE,No,No,100
ENE,ESE,S,No,No,101
W,SE,NE,No,Yes,102
W,S,E,Yes,Yes,103
NNE,ENE,SSW,No,No,104
W,NW,W,No,No,105
WNW,ENE,W,No,No,106
SE,SE,SE,No,No,107
SSE,SE,SE,No,No,108
ESE,ENE,SSE,No,No,109
WNW,ESE,NNE,No,Yes,110
W,WNW,NNW,Yes,Yes,111
NNW,NW,WNW,Yes,Yes,112
NW,N,NNW,Yes,Yes,113
WNW,W,W,Yes,No,114
SSE,SE,SSE,No,No,115
SW,ENE,W,No,No,116
S,N,SSE,No,No,117
W,ENE,WSW,No,No,118
SW,ENE,WNW,No,No,119
SW,SE,WNW,No,No,120
ESE,NNW,S,No,No,121
W,ENE,WNW,No,No,122
WNW,SE,W,No,No,123
WNW,WNW,WNW,No,No,124
WNW,NW,NW,No,Yes,125
W,W,WSW,Yes,No,126
W,E,E,No,No,127
E,SSE,ENE,No,No,128
SE,S,SE,No,No,129
E,NE,SE,No,No,130
NE,SE,NE,No,Yes,131
E,E,SSE,Yes,No,132
SE,ENE,SE,Yes,Yes,133
ENE,NW,E,Yes,No,134
W,NNE,W,No,No,135
NNW,NNW,NNW,Yes,Yes,136
WNW,WNW,WNW,Yes,Yes,137
W,NNW,WNW,Yes,Yes,138
WNW,W,WSW,Yes,No,139
ESE,E,SSE,No,No,140
ENE,E,NE,No,No,141
ESE,NE,SE,No,No,142
NNE,NE,NE,No,Yes,143
ENE,NW,ENE,Yes,Yes,144
SE,SE,ENE,Yes,No,145
W,ENE,SSE,No,Yes,146
ESE,ESE,SE,Yes,No,147
NNW,ESE,N,No,Yes,148
SE,ESE,ESE,Yes,No,149
SSE,SE,SE,No,Yes,150
W,WSW,NNW,Yes,Yes,151
NE,NE,NNE,Yes,Yes,152
NW,NE,NE,Yes,Yes,153
NW,N,NW,Yes,Yes,154
WNW,NW,WNW,Yes,Yes,155
ENE,NNE,WSW,No,No,156
NNW,SSE,NNW,No,No,157
WNW,N,NNW,No,Yes,158
W,N,SSW,Yes,Yes,159
N,NNE,SW,No,No,160
NNE,ESE,NE,No,No,161
N,ENE,ENE,No,No,162
W,ENE,NNW,No,Yes,163
N,ENE,NNW,No,Yes,164
WNW,NW,WSW,Yes,No,165
NNW,SW,NNW,No,No,166
NNW,W,WNW,No,No,167
NNE,ENE,S,Yes,No,168
WNW,WNW,WSW,No,Yes,169
WNW,E,WSW,Yes,No,170
ESE,S,E,No,No,171
SE,SSE,SE,No,No,172
NNE,E,NNW,No,Yes,173
W,SSE,NW,Yes,No,174
NW,NW,N,No,Yes,175
NNE,SE,NE,No,Yes,176
W,NE,ENE,Yes,Yes,177
WNW,W,WNW,Yes,No,178
E,NE,S,No,No,179
N,ESE,N,No,No,180
WNW,NNE,WSW,No,Yes,181
NE,SE,NNE,Yes,Yes,182
NNE,ENE,NNE,Yes,Yes,183
WNW,NNW,NW,Yes,Yes,184
W,W,NW,Yes,Yes,185
NW,NNW,NW,Yes,No,186
N,ENE,N,No,No,187
NNW,ESE,E,No,Yes,188
W,NE,W,Yes,Yes,189
WNW,W,W,Yes,Yes,190
NW,NW,NW,Yes,Yes,191
WNW,WNW,W,Yes,No,192
ESE,ESE,E,No,No,193
NW,ESE,WNW,Yes,No,194
WNW,ESE,NW,No,No,195
NE,SE,NE,No,No,196
W,ENE,W,No,No,197
N,SE,NNE,,No,198
NNE,E,WNW,No,No,199
SW,NE,NNW,No,No,200
S,ESE,S,No,No,201
E,E,ESE,No,No,202
WNW,E,NW,No,Yes,203
NNW,NE,WNW,No,No,204
NE,ESE,ENE,No,Yes,205
NNE,NNW,N,Yes,Yes,206
W,W,WSW,Yes,Yes,207
NW,WNW,NW,Yes,No,208
NNW,NNE,N,No,Yes,209
WNW,WNW,W,Yes,Yes,210
W,WNW,W,Yes,No,211
NW,E,WNW,No,No,212
NNW,E,NNE,No,No,213
SSW,N,S,No,No,214
SE,S,SSW,No,Yes,215
SSE,ESE,ESE,Yes,Yes,216
SE,ENE,SSE,No,Yes,217
ESE,E,SE,No,No,218
SSE,ESE,S,No,No,219
SE,SE,S,No,No,220
W,SE,NNE,No,No,221
W,SSE,NE,No,Yes,222
N,N,NW,Yes,Yes,223
W,WNW,W,Yes,Yes,224
WNW,NW,WSW,Yes,Yes,225
W,W,WNW,Yes,No,226
WSW,SE,W,No,No,227
NW,SSW,ESE,No,No,228
NE,WSW,NW,No,No,229
NNW,SE,S,No,No,230
SSE,ESE,SSE,No,No,231
WSW,SE,SSE,No,No,232
WNW,ENE,SW,No,No,233
WSW,E,W,No,No,234
SE,WSW,WSW,No,No,235
SE,SE,SSE,No,No,236
ENE,S,NNE,No,No,237
W,SE,SE,No,No,238
NNW,SE,N,No,No,239
WSW,SE,S,No,No,240
SSE,E,SE,No,No,241
WNW,SE,SE,No,No,242
WNW,WSW,WNW,No,No,243
NE,SE,SE,No,No,244
SSE,SE,S,No,No,245
S,SE,S,No,No,246
SSE,SE,E,No,No,247
